water_body_desc,location_code,section,section_name
Skykomish River,Al Borlin Park,2,Lewis St. Bridge to Wallace River
Skykomish River,Ben Howard Access,2,Lewis St. Bridge to Wallace River
Skykomish River,Ben Howard Road,2,Lewis St. Bridge to Wallace River
Skykomish River,Big Eddy Park,3,Wallace River to Big Eddy Park
Skykomish River,Cable Hole,4,Big Eddy park to the confluence of the N and South forks
Skykomish River,Cracker Bar,2,Lewis St. Bridge to Wallace River
Skykomish River,High Bridge (Confluence),1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Lewis St. Bridge to Wallace River,2,Lewis St. Bridge to Wallace River
Skykomish River,Lewis Street Launch,1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Mouth of the Skykomish to Lewis St. Bridge,1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Reiter Ponds,4,Big Eddy park to the confluence of the N and South forks
Skykomish River,Sultan Boat Launch,2,Lewis St. Bridge to Wallace River
Skykomish River,Tualco,1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Wallace River to Big Eddy Park,3,Wallace River to Big Eddy Park
Skykomish River,Big Eddy park to the confluence of the N and South forks,4,Big Eddy park to the confluence of the N and South forks
