event_date,open_section_1
6/1/2022,TRUE
6/2/2022,TRUE
6/3/2022,TRUE
6/4/2022,TRUE
6/5/2022,TRUE
6/6/2022,TRUE
6/7/2022,TRUE
6/8/2022,TRUE
6/9/2022,TRUE
6/10/2022,TRUE
6/11/2022,TRUE
6/12/2022,TRUE
6/13/2022,TRUE
6/14/2022,TRUE
6/15/2022,TRUE
6/16/2022,TRUE
6/17/2022,TRUE
6/18/2022,TRUE
6/19/2022,TRUE
6/20/2022,TRUE
6/21/2022,TRUE
6/22/2022,TRUE
6/23/2022,TRUE
6/24/2022,TRUE
6/25/2022,TRUE
6/26/2022,TRUE
6/27/2022,TRUE
6/28/2022,TRUE
6/29/2022,TRUE
6/30/2022,TRUE
7/1/2022,TRUE
7/2/2022,TRUE
7/3/2022,TRUE
7/4/2022,TRUE
7/5/2022,TRUE
7/6/2022,TRUE
7/7/2022,TRUE
7/8/2022,TRUE
7/9/2022,TRUE
7/10/2022,TRUE
7/11/2022,TRUE
7/12/2022,TRUE
7/13/2022,TRUE
7/14/2022,TRUE
7/15/2022,TRUE
