water_body_desc,location_code,section,section_name
Skagit River,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge),1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge,2,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge
Skagit River,From Hwy. 9 Bridge to mouth of Gilligan Creek,3,From Hwy. 9 Bridge to mouth of Gilligan Creek
Skagit River,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,4,From mouth of Gilligan Creek to the Dalles Bridge at Concrete
Skagit River,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport,5,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport
Skagit River,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,6,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).
Skagit River,"Blakes Landing (NF Skagit, private ramp)",1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,Conway Boat Ramp (SF Skagit),1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,Edgewater Park,1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,"North Fork Access (NF Skagit, at Best Road bridge)",1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,"Moore Rd Boat Ramp (NF Skagit, private ramp)",1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,"Skagit City Access (SF Skagit, N. end of Fir Island)",1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,Spudhouse Access,1,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge)
Skagit River,Gardner Bar (aka Mayor Tjeerdsma launch),2,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge
Skagit River,Railroad Bar,2,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge
Skagit River,Sterling Road Access,2,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge
Skagit River,Upper Young's Bar,2,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge
Skagit River,Riverfront Park,3,From Hwy. 9 Bridge to mouth of Gilligan Creek
Skagit River,Gilligan Creek Access downstream to Hwy. 9 Bridge,3,From Hwy. 9 Bridge to mouth of Gilligan Creek
Skagit River,Steelhead Club,3,From Hwy. 9 Bridge to mouth of Gilligan Creek
Skagit River,Birdsview WDFW boat launch,4,From mouth of Gilligan Creek to the Dalles Bridge at Concrete
Skagit River,Hamilton WDFW boat launch,4,From mouth of Gilligan Creek to the Dalles Bridge at Concrete
Skagit River,Lyman Slough Conservation Area,4,From mouth of Gilligan Creek to the Dalles Bridge at Concrete
Skagit River,Lyman Ferry DFW launch - south side of river,4,From mouth of Gilligan Creek to the Dalles Bridge at Concrete
Skagit River,Lyman Ferry launch - north side of river,4,From mouth of Gilligan Creek to the Dalles Bridge at Concrete
Skagit River,Pressentin Creek Access downstream to Loretta Creek,4,From mouth of Gilligan Creek to the Dalles Bridge at Concrete
Skagit River,Baker River Boat Ramp,5,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport
Skagit River,Larsen Log downstream to Ovenells Heritage Inn driveway,5,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport
Skagit River,Fabers North Access area and ramp,5,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport
Skagit River,Fabers South Access area and ramp,5,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport
Skagit River,Howard Miller Steelhead Park ramp,5,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport
Skagit River,Martin Launch (primitive Ramp across from Howard Miller Park),5,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport
Skagit River,Jackman Creek bridge,6,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).
Skagit River,101 hole (Car Body hole access point),6,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).
Skagit River,Chapel Hole,6,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).
Skagit River,Little eddy and Big eddy accesses,6,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).
Skagit River,Marblemount Bridge (Witham Boat Ramp),6,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).
Skagit River,Swift/Sutter rest stop,6,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).
