water_body,gear_num,angler_type,location_desc,section,p_TI,Indirect_TI_Expan
Skagit River,1,bank,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge),1,1,
Skagit River,1,bank,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge,2,1,
Skagit River,1,bank,From Hwy. 9 Bridge to mouth of Gilligan Creek,3,1,
Skagit River,1,bank,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,4,1,
Skagit River,1,bank,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport,5,1,
Skagit River,1,bank,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,6,1,
Skagit River,2,boat,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge),1,1,
Skagit River,2,boat,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to Hwy. 9 Bridge,2,1,
Skagit River,2,boat,From Hwy. 9 Bridge to mouth of Gilligan Creek,3,1,
Skagit River,2,boat,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,4,1,
Skagit River,2,boat,From the Dalles Bridge at Concrete to the Hwy. 530 Bridge at Rockport,5,1,
Skagit River,2,boat,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,6,1,
