event_date,open_section_1
2022-05-01,TRUE
2022-05-02,TRUE
2022-05-03,TRUE
2022-05-04,TRUE
2022-05-05,TRUE
2022-05-06,TRUE
2022-05-07,TRUE
2022-05-08,TRUE
2022-05-09,TRUE
2022-05-10,TRUE
2022-05-11,TRUE
2022-05-12,TRUE
2022-05-13,TRUE
2022-05-14,TRUE
2022-05-15,TRUE
2022-05-16,TRUE
2022-05-17,TRUE
2022-05-18,TRUE
2022-05-19,TRUE
2022-05-20,TRUE
2022-05-21,TRUE
2022-05-22,TRUE
2022-05-23,TRUE
2022-05-24,TRUE
2022-05-25,TRUE
2022-05-26,TRUE
2022-05-27,TRUE
2022-05-28,TRUE
2022-05-29,TRUE
2022-05-30,TRUE
2022-05-31,TRUE
