event_date,open_section_1
2022-06-01,TRUE
2022-06-02,TRUE
2022-06-03,TRUE
2022-06-04,TRUE
2022-06-05,TRUE
2022-06-06,TRUE
2022-06-07,TRUE
2022-06-08,TRUE
2022-06-09,TRUE
2022-06-10,TRUE
2022-06-11,TRUE
2022-06-12,TRUE
2022-06-13,TRUE
2022-06-14,TRUE
2022-06-15,TRUE
2022-06-16,TRUE
2022-06-17,TRUE
2022-06-18,TRUE
2022-06-19,TRUE
2022-06-20,TRUE
2022-06-21,TRUE
2022-06-22,TRUE
2022-06-23,TRUE
2022-06-24,TRUE
2022-06-25,TRUE
2022-06-26,TRUE
2022-06-27,TRUE
2022-06-28,TRUE
2022-06-29,TRUE
2022-06-30,TRUE
2022-07-01,TRUE
2022-07-02,TRUE
2022-07-03,TRUE
2022-07-04,TRUE
2022-07-05,TRUE
2022-07-06,TRUE
2022-07-07,TRUE
2022-07-08,TRUE
2022-07-09,TRUE
2022-07-10,TRUE
2022-07-11,TRUE
2022-07-12,TRUE
2022-07-13,TRUE
2022-07-14,TRUE
2022-07-15,TRUE
2022-07-16,TRUE
2022-07-17,TRUE
2022-07-18,TRUE
2022-07-19,TRUE
2022-07-20,TRUE
2022-07-21,TRUE
2022-07-22,TRUE
2022-07-23,TRUE
2022-07-24,TRUE
2022-07-25,TRUE
2022-07-26,TRUE
2022-07-27,TRUE
2022-07-28,TRUE
2022-07-29,TRUE
2022-07-30,TRUE
2022-07-31,TRUE
