event_date,open_section_1,open_section_2
2022-09-01,TRUE,TRUE
2022-09-02,TRUE,TRUE
2022-09-03,TRUE,TRUE
2022-09-04,TRUE,TRUE
2022-09-05,TRUE,TRUE
2022-09-06,TRUE,TRUE
2022-09-07,TRUE,TRUE
2022-09-08,TRUE,TRUE
2022-09-09,TRUE,TRUE
2022-09-10,TRUE,TRUE
2022-09-11,TRUE,TRUE
2022-09-12,TRUE,TRUE
2022-09-13,TRUE,TRUE
2022-09-14,TRUE,TRUE
2022-09-15,TRUE,TRUE
2022-09-16,TRUE,TRUE
2022-09-17,TRUE,TRUE
2022-09-18,TRUE,TRUE
2022-09-19,TRUE,TRUE
2022-09-20,TRUE,TRUE
2022-09-21,TRUE,TRUE
2022-09-22,TRUE,TRUE
2022-09-23,TRUE,TRUE
2022-09-24,TRUE,TRUE
2022-09-25,TRUE,TRUE
2022-09-26,TRUE,TRUE
2022-09-27,TRUE,TRUE
2022-09-28,TRUE,TRUE
2022-09-29,TRUE,TRUE
2022-09-30,TRUE,TRUE
2022-10-01,TRUE,TRUE
2022-10-02,TRUE,TRUE
2022-10-03,TRUE,TRUE
2022-10-04,TRUE,TRUE
2022-10-05,TRUE,TRUE
2022-10-06,TRUE,TRUE
2022-10-07,TRUE,TRUE
2022-10-08,TRUE,TRUE
2022-10-09,TRUE,TRUE
2022-10-10,TRUE,TRUE
2022-10-11,TRUE,TRUE
2022-10-12,TRUE,TRUE
2022-10-13,TRUE,TRUE
2022-10-14,TRUE,TRUE
2022-10-15,TRUE,TRUE
2022-10-16,TRUE,TRUE
2022-10-17,TRUE,TRUE
2022-10-18,TRUE,TRUE
2022-10-19,TRUE,TRUE
2022-10-20,TRUE,TRUE
2022-10-21,TRUE,TRUE
2022-10-22,TRUE,TRUE
2022-10-23,TRUE,TRUE
2022-10-24,TRUE,TRUE
2022-10-25,TRUE,TRUE
2022-10-26,TRUE,TRUE
2022-10-27,TRUE,TRUE
2022-10-28,TRUE,TRUE
2022-10-29,TRUE,TRUE
2022-10-30,TRUE,TRUE
2022-10-31,TRUE,TRUE
2022-11-01,TRUE,TRUE
2022-11-02,TRUE,TRUE
2022-11-03,TRUE,TRUE
2022-11-04,TRUE,TRUE
2022-11-05,TRUE,TRUE
2022-11-06,TRUE,TRUE
2022-11-07,TRUE,TRUE
2022-11-08,TRUE,TRUE
2022-11-09,TRUE,TRUE
2022-11-10,TRUE,TRUE
2022-11-11,TRUE,TRUE
2022-11-12,TRUE,TRUE
2022-11-13,TRUE,TRUE
2022-11-14,TRUE,TRUE
2022-11-15,TRUE,TRUE
2022-11-16,TRUE,TRUE
2022-11-17,TRUE,TRUE
2022-11-18,TRUE,TRUE
2022-11-19,TRUE,TRUE
2022-11-20,TRUE,TRUE
2022-11-21,TRUE,TRUE
2022-11-22,TRUE,TRUE
2022-11-23,TRUE,TRUE
2022-11-24,TRUE,TRUE
2022-11-25,TRUE,TRUE
2022-11-26,TRUE,TRUE
2022-11-27,TRUE,TRUE
2022-11-28,TRUE,TRUE
2022-11-29,TRUE,TRUE
2022-11-30,TRUE,TRUE
2022-12-01,TRUE,TRUE
2022-12-02,TRUE,TRUE
2022-12-03,TRUE,TRUE
2022-12-04,TRUE,TRUE
2022-12-05,TRUE,TRUE
2022-12-06,TRUE,TRUE
2022-12-07,TRUE,TRUE
2022-12-08,TRUE,TRUE
2022-12-09,TRUE,TRUE
2022-12-10,TRUE,TRUE
2022-12-11,TRUE,TRUE
2022-12-12,TRUE,TRUE
2022-12-13,TRUE,TRUE
2022-12-14,TRUE,TRUE
2022-12-15,TRUE,TRUE
2022-12-16,TRUE,TRUE
2022-12-17,TRUE,TRUE
2022-12-18,TRUE,TRUE
2022-12-19,TRUE,TRUE
2022-12-20,TRUE,TRUE
2022-12-21,TRUE,TRUE
2022-12-22,TRUE,TRUE
2022-12-23,TRUE,TRUE
2022-12-24,TRUE,TRUE
2022-12-25,TRUE,TRUE
2022-12-26,TRUE,TRUE
2022-12-27,TRUE,TRUE
2022-12-28,TRUE,TRUE
2022-12-29,TRUE,TRUE
2022-12-30,TRUE,TRUE
2022-12-31,TRUE,TRUE
