water_body_desc,location_code,section,section_name
Humptulips River,Hwy 109 Ramp,1,Mouth to Hwy 101 Bridge
Humptulips River,Car Body Hole,1,Mouth to Hwy 101 Bridge
Humptulips River,Dike Rd. Ramp,1,Mouth to Hwy 101 Bridge
Humptulips River,Hanson Rd Launch,1,Mouth to Hwy 101 Bridge
Humptulips River,Mouth Stevens Crk,1,Mouth to Hwy 101 Bridge
Humptulips River,Big Bluff,1,Mouth to Hwy 101 Bridge
Humptulips River,Reynvann Bar,1,Mouth to Hwy 101 Bridge
Humptulips River,Camp Bethel,1,Mouth to Hwy 101 Bridge
Humptulips River,Hwy 101 Hole,2,Hwy 101 Bridge to EF & WF Humptulips Confluence
Humptulips River,EF & WF Confluence,2,Hwy 101 Bridge to EF & WF Humptulips Confluence
