event_date,open_section_1
1/1/2022,TRUE
1/2/2022,TRUE
1/3/2022,TRUE
1/4/2022,TRUE
1/5/2022,TRUE
1/6/2022,TRUE
1/7/2022,TRUE
1/8/2022,TRUE
1/9/2022,TRUE
1/10/2022,TRUE
1/11/2022,TRUE
1/12/2022,TRUE
1/13/2022,TRUE
1/14/2022,TRUE
1/15/2022,TRUE
1/16/2022,TRUE
1/17/2022,TRUE
1/18/2022,TRUE
1/19/2022,TRUE
1/20/2022,TRUE
1/21/2022,TRUE
1/22/2022,TRUE
1/23/2022,TRUE
1/24/2022,TRUE
1/25/2022,TRUE
1/26/2022,TRUE
1/27/2022,TRUE
1/28/2022,TRUE
1/29/2022,TRUE
1/30/2022,TRUE
1/31/2022,TRUE
2/1/2022,TRUE
2/2/2022,TRUE
2/3/2022,TRUE
2/4/2022,TRUE
2/5/2022,TRUE
2/6/2022,TRUE
2/7/2022,TRUE
2/8/2022,TRUE
2/9/2022,TRUE
2/10/2022,TRUE
2/11/2022,TRUE
2/12/2022,TRUE
2/13/2022,TRUE
2/14/2022,TRUE
2/15/2022,TRUE
2/16/2022,TRUE
2/17/2022,TRUE
2/18/2022,TRUE
2/19/2022,TRUE
2/20/2022,TRUE
2/21/2022,TRUE
2/22/2022,TRUE
2/23/2022,TRUE
2/24/2022,TRUE
2/25/2022,TRUE
2/26/2022,TRUE
2/27/2022,TRUE
2/28/2022,TRUE
