event_date,open_section_1
2022-01-01,TRUE
2022-01-02,TRUE
2022-01-03,TRUE
2022-01-04,TRUE
2022-01-05,TRUE
2022-01-06,TRUE
2022-01-07,TRUE
2022-01-08,TRUE
2022-01-09,TRUE
2022-01-10,TRUE
2022-01-11,TRUE
2022-01-12,TRUE
2022-01-13,TRUE
2022-01-14,TRUE
2022-01-15,TRUE
2022-01-16,TRUE
2022-01-17,TRUE
2022-01-18,TRUE
2022-01-19,TRUE
2022-01-20,TRUE
2022-01-21,TRUE
2022-01-22,TRUE
2022-01-23,TRUE
2022-01-24,TRUE
2022-01-25,TRUE
2022-01-26,TRUE
2022-01-27,TRUE
2022-01-28,TRUE
2022-01-29,TRUE
2022-01-30,TRUE
2022-01-31,TRUE
2022-02-01,TRUE
2022-02-02,TRUE
2022-02-03,TRUE
2022-02-04,TRUE
2022-02-05,TRUE
2022-02-06,TRUE
2022-02-07,TRUE
2022-02-08,TRUE
2022-02-09,TRUE
2022-02-10,TRUE
2022-02-11,TRUE
2022-02-12,TRUE
2022-02-13,TRUE
2022-02-14,TRUE
2022-02-15,TRUE
2022-02-16,TRUE
2022-02-17,TRUE
2022-02-18,TRUE
2022-02-19,TRUE
2022-02-20,TRUE
2022-02-21,TRUE
2022-02-22,TRUE
2022-02-23,TRUE
2022-02-24,TRUE
2022-02-25,TRUE
2022-02-26,TRUE
2022-02-27,TRUE
2022-02-28,TRUE
