event_date,open_section_1
2021-05-29,TRUE
2021-05-30,TRUE
2021-05-31,TRUE
2021-06-01,TRUE
2021-06-02,TRUE
2021-06-03,TRUE
2021-06-04,TRUE
2021-06-05,TRUE
2021-06-06,TRUE
2021-06-07,TRUE
2021-06-08,TRUE
2021-06-09,TRUE
2021-06-10,TRUE
2021-06-11,TRUE
2021-06-12,TRUE
2021-06-13,TRUE
2021-06-14,TRUE
2021-06-15,TRUE
2021-06-16,TRUE
2021-06-17,TRUE
2021-06-18,TRUE
2021-06-19,TRUE
2021-06-20,TRUE
2021-06-21,TRUE
2021-06-22,TRUE
2021-06-23,TRUE
2021-06-24,TRUE
2021-06-25,TRUE
2021-06-26,TRUE
2021-06-27,TRUE
2021-06-28,TRUE
2021-06-29,TRUE
2021-06-30,TRUE
2021-07-01,TRUE
2021-07-02,TRUE
2021-07-03,TRUE
2021-07-04,TRUE
2021-07-05,TRUE
2021-07-06,TRUE
2021-07-07,TRUE
2021-07-08,TRUE
2021-07-09,TRUE
2021-07-10,TRUE
2021-07-11,TRUE
2021-07-12,TRUE
2021-07-13,TRUE
2021-07-14,TRUE
2021-07-15,TRUE
2021-07-16,TRUE
2021-07-17,TRUE
2021-07-18,TRUE
