event_date,open_section_1
5/1/2022,TRUE
5/2/2022,TRUE
5/3/2022,TRUE
5/4/2022,TRUE
5/5/2022,TRUE
5/6/2022,TRUE
5/7/2022,TRUE
5/8/2022,TRUE
5/9/2022,TRUE
5/10/2022,TRUE
5/11/2022,TRUE
5/12/2022,TRUE
5/13/2022,TRUE
5/14/2022,TRUE
5/15/2022,TRUE
5/16/2022,TRUE
5/17/2022,TRUE
5/18/2022,TRUE
5/19/2022,TRUE
5/20/2022,TRUE
5/21/2022,TRUE
5/22/2022,TRUE
5/23/2022,TRUE
5/24/2022,TRUE
5/25/2022,TRUE
5/26/2022,TRUE
5/27/2022,TRUE
5/28/2022,TRUE
5/29/2022,TRUE
5/30/2022,TRUE
5/31/2022,TRUE
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
