water_body_desc,location_code,section,section_name
Skagit River,"Blakes Landing (NF Skagit, private ramp)",1,Skagit River mouth to Gilligan Creek
Skagit River,Conway Boat Ramp (SF Skagit),1,Skagit River mouth to Gilligan Creek
Skagit River,Edgewater Park,1,Skagit River mouth to Gilligan Creek
Skagit River,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge),1,Skagit River mouth to Gilligan Creek
Skagit River,"North Fork Access (NF Skagit, at Best Road bridge)",1,Skagit River mouth to Gilligan Creek
Skagit River,"Skagit City Access (SF Skagit, N. end of Fir Island)",1,Skagit River mouth to Gilligan Creek
Skagit River,Spudhouse Access,1,Skagit River mouth to Gilligan Creek
Skagit River,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1,Skagit River mouth to Gilligan Creek
Skagit River,Gardner Bar (aka Mayor Tjeerdsma launch),1,Skagit River mouth to Gilligan Creek
Skagit River,Railroad Bar,1,Skagit River mouth to Gilligan Creek
Skagit River,Riverfront Park,1,Skagit River mouth to Gilligan Creek
Skagit River,South Skagit Highway Stretch,1,Skagit River mouth to Gilligan Creek
Skagit River,Steelhead Club,1,Skagit River mouth to Gilligan Creek
Skagit River,Stirling Road Access,1,Skagit River mouth to Gilligan Creek
Skagit River,Upper Young's Bar,1,Skagit River mouth to Gilligan Creek
Skagit River,Birdsview WDFW boat launch,2,Gilligan Creek to Baker River
Skagit River,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,2,Gilligan Creek to Baker River
Skagit River,Hamilton WDFW boat launch,2,Gilligan Creek to Baker River
Skagit River,Lyman Slough Conservation Area?,2,Gilligan Creek to Baker River
Skagit River,Old Lyman Ferry primitive boat launch,2,Gilligan Creek to Baker River
Skagit River,Pressentin Creek pull off,2,Gilligan Creek to Baker River
Skagit River,Pressentin Creek to Gilligan Creek,2,Gilligan Creek to Baker River
Skagit River,Primitive boat ramp old Lyman ferry,2,Gilligan Creek to Baker River
Skagit River,Rasar State Park,2,Gilligan Creek to Baker River
Skagit River,From the Dalles Bridge at Concrete to 200' below the mouth of Baker River,2,Gilligan Creek to Baker River
Skagit River,Above the east bank of the Baker River and below the west bank of the Baker River,2,Gilligan Creek to Baker River
Skagit River,Baker River Boat Ramp,3,Baker River to Marblemount Bridge
Skagit River,Big Timber log sign to Ovenells Heritage Inn driveway,3,Baker River to Marblemount Bridge
Skagit River,Fabers North Access area and ramp,3,Baker River to Marblemount Bridge
Skagit River,Fabers South Access area and ramp,3,Baker River to Marblemount Bridge
Skagit River,Howard Miller Steelhead Park ramp,3,Baker River to Marblemount Bridge
Skagit River,Jackman Creek bridge,3,Baker River to Marblemount Bridge
Skagit River,Martin Launch (primitive Ramp across from Howard Miller Park),3,Baker River to Marblemount Bridge
Skagit River,Upstream of the mouth of the Baker River to the Hwy. 530 Bridge at Rockport,3,Baker River to Marblemount Bridge
Skagit River,101 hole (Car Body hole access point),3,Baker River to Marblemount Bridge
Skagit River,Chapel Hole,3,Baker River to Marblemount Bridge
Skagit River,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,3,Baker River to Marblemount Bridge
Skagit River,Little eddy and Big eddy accesses,3,Baker River to Marblemount Bridge
Skagit River,Marblemount Bridge (Witham Boat Ramp),3,Baker River to Marblemount Bridge
Skagit River,Swift/Sutter rest stop,3,Baker River to Marblemount Bridge
