water_body_desc,location_code,section
Skagit River,From Cascade River Rd. (Marblemount Bridge) to Gorge powerhouse at Newhalem,1
Skagit River,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,1
Skagit River,Upstream of the mouth of the Baker River to the Hwy. 530 Bridge at Rockport,1
Skagit River,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge),1
Skagit River,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1
Skagit River,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,1
Skagit River,From the Dalles Bridge at Concrete to 200' below the mouth of Baker River,1
Skagit River,Above the east bank of the Baker River and below the west bank of the Baker River,1
Skagit River,Primitive boat ramp old Lyman ferry,1
Skagit River,Hamilton WDFW boat launch,1
Skagit River,Rasar State Park,1
Skagit River,Lyman Slough Conservation Area?,1
Skagit River,Birdsview WDFW boat launch,1
Skagit River,Pressentin Creek pull off,1
Skagit River,Pressentin Creek to Gilligan Creek,1
Skagit River,Old Lyman Ferry primitive boat launch,1
Skagit River,Stirling Road Access,1
Skagit River,Mill Town Boat Ramp (SF Skagit),1
Skagit River,Conway Boat Ramp (SF Skagit),1
Skagit River,"Skagit City Access (SF Skagit, N. end of Fir Island)",1
Skagit River,"Blakes Landing (NF Skagit, private ramp)",1
Skagit River,"North Fork Access (NF Skagit, at Best Road bridge)",1
Skagit River,Spudhouse Access,1
Skagit River,Edgewater Park,1
Skagit River,Upper Young's Bar,1
Skagit River,Railroad Bar,1
Skagit River,Gardner Bar (aka Mayor Tjeerdsma launch),1
Skagit River,Riverfront Park,1
Skagit River,South Skagit Highway Stretch,1
Skagit River,Baker River Boat Ramp,1
Skagit River,Fabers North Access area and ramp,1
Skagit River,Jackman Creek bridge,1
Skagit River,Martin Launch (primitive Ramp across from Howard Miller Park),1
Skagit River,Howard Miller Steelhead Park ramp,1
Skagit River,Fabers South Access area and ramp,1
Skagit River,Big Timber log sign to Ovenells Heritage Inn driveway,1
Skagit River,Swift/Sutter rest stop,1
Skagit River,101 hole (Car Body hole access point),1
Skagit River,Chapel Hole,1
Skagit River,Marblemount Bridge (Witham Boat Ramp),1
Skagit River,Little eddy and Big eddy accesses,1
Skagit River,Steelhead Club,1
Skagit River,Dalles bridge to Marblemount bridge,1
Sauk River,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge) CRC (828),2
Sauk River,Darrington Sauk-Prairie Road bridge (aka Darrington Mill Bridge),2
Sauk River,Bryson Road access parking area,2
Sauk River,Bryson Road to USFS Lower Sauk Ramp along Hwy 530,2
Sauk River,USFS Lower Sauk Ramp,2
Sauk River,Lower Sauk Ramp bridge to Government Bridge along HWY 530,2
Sauk River,Government Bridge Ramp,2
Sauk River,Government Bridge down to Hippie Bar,2
Sauk River,Hippie Bar downstream to Wagon Trail,2
