water_body_desc,location_code,UpperRM,section_name,section
Kalama,KAL 1,3,Kalama_1,1
Kalama,KAL 2,7.6,Kalama_1,1
Kalama,KAL 3,10.4,Kalama_3,3
Kalama,KAL 3a,9.5,Kalama_2,2
Kalama,KAL 3b,10.4,Kalama_3,3
Kalama,KAL 4,17,Kalama_3,3
Kalama,KAL 5,21.1,Kalama_3,3
Kalama,KAL TIE-IN 1,3,Kalama_1,1
Kalama,KAL TIE-IN 2,7.6,Kalama_1,1
Kalama,KAL TIE-IN 3a,9.5,Kalama_2,2
Kalama,KAL TIE-IN 3b,10.4,Kalama_3,3
Kalama,KAL TIE-IN 4,17,Kalama_3,3
Kalama,KAL TIE-IN 5,21.1,Kalama_3,3
Kalama,Kalama - General,21.1,Kalama_3,3
