water_body_id,water_body_code,water_body_desc,location_id,location_code,location_desc,shape,upper_rm,lower_rm,section
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,7A6A7D9B-CA2F-40BC-B728-6E363DAA0C53,"Horsethief, WA",RM 194,NA,194,194,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,A33E299D-184C-476F-9DCF-CBAF0FF7C204,"Avery, WA",RM 198,NA,198,198,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,A8B2D588-9421-4F62-98D0-14222D39E9D3,"Celilo Ramp, OR",RM 202,NA,202,202,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,C914054D-AA07-414E-AD64-AE4FBD905202,"Deschutes Ramp, OR",RM 204,NA,204,204,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,5FBCBDD4-A7E1-4772-B0DF-9D2E9C5712BB,"Maryhill, WA",RM 209,NA,210,209,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,F079BCC9-014B-47B5-8DBD-28097C401E2B,"Rufus Ramp, OR",RM 215,NA,215,215,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,70DA2C67-1E36-41B6-AB02-90883A7C81E3,"Cliffs, WA",RM 215,NA,215,215,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,66752268-2AE8-452B-A5FA-2571B1DF020E,"Gravel Pit, OR",RM 213,NA,213,213,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,40594160-A423-4924-ABC2-047AA6FCDED1,"Biggs Grain Elev, OR",RM 208,NA,208,208,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,065B91C1-0702-4A63-A6CD-DD34DCB54EF0,The Dalles Dam to RR Bridge,RM 192,NA,201,192,NA
