water_body_desc,location_code,section
The Dalles Pool Reservoir,"Horsethief, WA",
The Dalles Pool Reservoir,"Avery, WA",
The Dalles Pool Reservoir,"Celilo Ramp, OR",
The Dalles Pool Reservoir,"Deschutes Ramp, OR",
The Dalles Pool Reservoir,"Maryhill, WA",
The Dalles Pool Reservoir,"Rufus Ramp, OR",
The Dalles Pool Reservoir,"Cliffs, WA",
The Dalles Pool Reservoir,"Gravel Pit, OR",
The Dalles Pool Reservoir,"Biggs Grain Elev, OR",
The Dalles Pool Reservoir,The Dalles Dam to RR Bridge,
The Dalles Pool Reservoir,Deschutes R mouth,
The Dalles Pool Reservoir,Miller Is. - Hwy 97,
The Dalles Pool Reservoir,"Miller Pt. - Hwy 97, WA",
The Dalles Pool Reservoir,Hwy. 97 - marker 41,
The Dalles Pool Reservoir,marker 41 upstream,
The Dalles Pool Reservoir,marker 41 - elevator,
The Dalles Pool Reservoir,RM 198,
The Dalles Pool Reservoir,RM 199,
The Dalles Pool Reservoir,RM 200,
The Dalles Pool Reservoir,RM 201,
The Dalles Pool Reservoir,RM 202,
The Dalles Pool Reservoir,RM 203,
The Dalles Pool Reservoir,RM 204,
The Dalles Pool Reservoir,RM 205,
The Dalles Pool Reservoir,"North Channel 205, WA",
The Dalles Pool Reservoir,RM 206,
The Dalles Pool Reservoir,RM 207,
The Dalles Pool Reservoir,"RR Access Road 207, WA",
The Dalles Pool Reservoir,RM 208,
The Dalles Pool Reservoir,RM 209,
The Dalles Pool Reservoir,RM 210,
The Dalles Pool Reservoir,RM 211,
The Dalles Pool Reservoir,RM 212,
The Dalles Pool Reservoir,RM 213,
The Dalles Pool Reservoir,"RM 213, OR",
The Dalles Pool Reservoir,RM 214,
The Dalles Pool Reservoir,"RM 214, OR",
The Dalles Pool Reservoir,RM 215,
The Dalles Pool Reservoir,RM 216,
The Dalles Pool Reservoir,Section 1 TD,
The Dalles Pool Reservoir,Section 3 TD-a,
The Dalles Pool Reservoir,Section 3 TD-b,
The Dalles Pool Reservoir,Section 2 TD,
The Dalles Pool Reservoir,elevator - John Day Dam,
The Dalles Pool Reservoir,"Rufus Park, OR",
The Dalles Pool Reservoir,"Cliff Park Gravel Bar, WA",
The Dalles Pool Reservoir,"Celilo Park, OR",
The Dalles Pool Reservoir,Hwy 97 Bridge - OR,
The Dalles Pool Reservoir,"Gravel Pit Park, OR",
The Dalles Pool Reservoir,"Railroad Bridge, OR",
The Dalles Pool Reservoir,Rufus Grain Elevator,
The Dalles Pool Reservoir,"Powerline Tower, WA",
The Dalles Pool Reservoir,"The Dalles Dam Ramp, WA",
The Dalles Pool Reservoir,"Railroad Tunnel, WA",
The Dalles Pool Reservoir,"North Channel 206, WA",
The Dalles Pool Reservoir,"Railroad Access Road 208, WA",
The Dalles Pool Reservoir,"Maryhill Ramp, WA",
The Dalles Pool Reservoir,East End of Maryhill Orchards,
The Dalles Pool Reservoir,"Channel Marker #41 Ramp, WA",
The Dalles Pool Reservoir,"Ramp at end of Cliffs, WA",
The Dalles Pool Reservoir,"Miller Pt, WA",
The Dalles Pool Reservoir,Hwy 97 Bridge - WA,
The Dalles Pool Reservoir,"orchard - marker 41, WA",
The Dalles Pool Reservoir,"marker 41 - end of cliffs, WA",
The Dalles Pool Reservoir,"RM 213, WA",
The Dalles Pool Reservoir,"RM 214, WA",
The Dalles Pool Reservoir,"Lower Rufus Park, OR",
The Dalles Pool Reservoir,"Upper Rufus Park, OR",
The Dalles Pool Reservoir,"upper Cliffs Park ramp, WA",
The Dalles Pool Reservoir,RM 192,
The Dalles Pool Reservoir,RM 193,
The Dalles Pool Reservoir,RM 194,
The Dalles Pool Reservoir,RM 195,
The Dalles Pool Reservoir,RM 196,
The Dalles Pool Reservoir,RM 197,
Upper Gorge - Rock Creek,ROCK 1,
North Fork Lewis River,Woodland Town Ramp,
North Fork Lewis River,South side,
North Fork Lewis River,North side,
North Fork Lewis River,Merwin Dam Ramp,
North Fork Lewis River,Hatchery Ramp,
North Fork Lewis River,Cedar Creek Ramp,
North Fork Lewis River,Haapa Ramp,
North Fork Lewis River,Golf Course Ramp,
North Fork Lewis River,Eagle Island Ramp,
North Fork Lewis River,S. Pekin/ Forks Ramp,
North Fork Lewis River,NF Johnson to EF,
North Fork Lewis River,NF deadline,
North Fork Lewis River,NF combined,
Bonneville Pool Reservoir,"Eagle Creek, OR",
Bonneville Pool Reservoir,"Cascade Locks, OR",
Bonneville Pool Reservoir,"Stevenson, WA",
Bonneville Pool Reservoir,"Wind River, WA",
Bonneville Pool Reservoir,"Drano Lake, WA",
Bonneville Pool Reservoir,"Hood River Ramp, OR",
Bonneville Pool Reservoir,"Bingen, WA",
Bonneville Pool Reservoir,"East Mayer Park, OR",
Bonneville Pool Reservoir,"Lyle, WA",
Bonneville Pool Reservoir,"The Dalles, OR",
Bonneville Pool Reservoir,"Starvation Creek, OR",
Bonneville Pool Reservoir,"Dallesport, WA",
Bonneville Pool Reservoir,Bridge - Gov't Cove,
Bonneville Pool Reservoir,"Lone Pine, WA",
Bonneville Pool Reservoir,Drano Pt & Shack WA,
Bonneville Pool Reservoir,"Sturgeon Rocks, OR",
Bonneville Pool Reservoir,Lone Pine - Mitchell Pt.,
Bonneville Pool Reservoir,"Tunnel #5, WA",
Bonneville Pool Reservoir,Tunnel 4 - Spring Cr.,
Bonneville Pool Reservoir,Hook & HR sailpark,
Bonneville Pool Reservoir,Spring Cr. - HR Bridge,
Bonneville Pool Reservoir,HR Bridge - Rowland Lake,
Bonneville Pool Reservoir,Klickitat R. Mouth,
Bonneville Pool Reservoir,"The Dalles Industrial, OR",
Bonneville Pool Reservoir,"Blackberry beach, OR",
Bonneville Pool Reservoir,"Swell City, WA",
Bonneville Pool Reservoir,Pumphouse - TD Bridge,
Bonneville Pool Reservoir,"Drano Pt, WA",
Bonneville Pool Reservoir,Section 3 BP,
Bonneville Pool Reservoir,Section 2 BP,
Bonneville Pool Reservoir,Section 1 BP,
Bonneville Pool Reservoir,RM 165,
Bonneville Pool Reservoir,"Drano shack, WA",
Bonneville Pool Reservoir,RM 191,
Bonneville Pool Reservoir,RM 189,
Bonneville Pool Reservoir,RM 188,
Bonneville Pool Reservoir,RM 187,
Bonneville Pool Reservoir,RM 186,
Bonneville Pool Reservoir,RM 183,
Bonneville Pool Reservoir,RM 182,
Bonneville Pool Reservoir,RM 181,
Bonneville Pool Reservoir,RM 180,
Bonneville Pool Reservoir,RM 179,
Bonneville Pool Reservoir,RM 177,
Bonneville Pool Reservoir,RM 176,
Bonneville Pool Reservoir,RM 175,
Bonneville Pool Reservoir,RM 174,
Bonneville Pool Reservoir,RM 173,
Bonneville Pool Reservoir,RM 171,
Bonneville Pool Reservoir,RM 169,
Bonneville Pool Reservoir,RM 168,
Bonneville Pool Reservoir,RM 167,
Bonneville Pool Reservoir,RM 166,
Bonneville Pool Reservoir,RM 164,
Bonneville Pool Reservoir,RM 163,
Bonneville Pool Reservoir,RM 162,
Bonneville Pool Reservoir,RM 161,
Bonneville Pool Reservoir,RM 160,
Bonneville Pool Reservoir,RM 159,
Bonneville Pool Reservoir,RM 158,
Bonneville Pool Reservoir,RM 157,
Bonneville Pool Reservoir,RM 156,
Bonneville Pool Reservoir,RM 155,
Bonneville Pool Reservoir,RM 154,
Bonneville Pool Reservoir,RM 150,
Bonneville Pool Reservoir,RM 148,
Bonneville Pool Reservoir,RM 146,
Bonneville Pool Reservoir,"Dallesport Ramp, WA",
Bonneville Pool Reservoir,RM 190,
Bonneville Pool Reservoir,RM 185,
Bonneville Pool Reservoir,RM 184,
Bonneville Pool Reservoir,"Doug's Beach, WA",
Bonneville Pool Reservoir,"Rowena, OR",
Bonneville Pool Reservoir,RR tunnel - Klickitat mouth,
Bonneville Pool Reservoir,RM 178,
Bonneville Pool Reservoir,Rowland Lake - Memaloose Island,
Bonneville Pool Reservoir,Mosier - Rowland Lake,
Bonneville Pool Reservoir,RM 172,
Bonneville Pool Reservoir,Koberg - Bingen,
Bonneville Pool Reservoir,RM 170,
Bonneville Pool Reservoir,Wells Island,
Bonneville Pool Reservoir,"Ruthton, OR",
Bonneville Pool Reservoir,WA Tunnels,
Bonneville Pool Reservoir,"Lindsey Cr, OR",
Bonneville Pool Reservoir,"Wind Mtn, WA",
Bonneville Pool Reservoir,RM 153,
Bonneville Pool Reservoir,Dog Mtn,
Bonneville Pool Reservoir,RM 152,
Bonneville Pool Reservoir,RM 151,
Bonneville Pool Reservoir,RM 149,
Bonneville Pool Reservoir,RM 147,
Bonneville Pool Reservoir,"Pump House, WA",
Bonneville Pool Reservoir,"West Mayer Park, OR",
Bonneville Pool Reservoir,"Channel marker #54, OR",
Bonneville Pool Reservoir,"Mosier, OR",
Bonneville Pool Reservoir,"Channel Marker #41, WA",
Bonneville Pool Reservoir,"Koberg Beach, OR",
Bonneville Pool Reservoir,"Underwood, WA",
Bonneville Pool Reservoir,"Tunnel #4, WA",
Bonneville Pool Reservoir,"Mitchell Pt, OR",
Bonneville Pool Reservoir,"13 Mile Pt, WA",
Bonneville Pool Reservoir,"Rock Island, OR",
Bonneville Pool Reservoir,"Collins Pt, WA",
Bonneville Pool Reservoir,"Gates, OR",
Bonneville Pool Reservoir,"Trotter Pt, OR",
Bonneville Pool Reservoir,"Gravel pit, OR",
Bonneville Pool Reservoir,Drano Mouth,
Bonneville Pool Reservoir,Bonn Pool,
Bonneville Pool Reservoir,"Home Valley Park, WA",
Bonneville Pool Reservoir,"Above Doug's Beach, WA",
Bonneville Pool Reservoir,"Rowland Lake Heights, WA",
Bonneville Pool Reservoir,"Mosier View Bluffs, WA",
Bonneville Pool Reservoir,"Spring Creek Hatchery, WA",
Bonneville Pool Reservoir,"Shilo, OR",
Bonneville Pool Reservoir,"The Dalles Ramp, OR",
Bonneville Pool Reservoir,"Old Port of The Dalles, OR",
Bonneville Pool Reservoir,"New Port of The Dalles, OR",
Bonneville Pool Reservoir,"Taylor Lake, OR",
Bonneville Pool Reservoir,"18 Mile Island, OR",
Bonneville Pool Reservoir,"HR sailpark, OR",
Bonneville Pool Reservoir,"The Hook, OR",
Bonneville Pool Reservoir,"Viento State Park, OR",
Bonneville Pool Reservoir,"Shellrock Mountain, OR",
Upper North Fork Lewis River,TieIn - Section #1,
Upper North Fork Lewis River,Section #1,
Upper North Fork Lewis River,TieIn - Section #2,
Upper North Fork Lewis River,Section #2,
Goose Lake,Goose Lake,
Little Ash Lake,Little Ash Lake,
Klineline Pond,Klineline Pond,
Coldwater Lake,Coldwater Lake,
Tunnel Lake,Tunnel Lake,
Merrill Lake,Merrill Lake,
Takhlakh Lake,Takhlakh Lake,
Kress Lake,Kress Lake,
Coweeman River,Coweeman - General,
Coweeman River,Coweeman TI2 - Section 2b,
Coweeman River,Coweeman TI2 - Section 3a,
Coweeman River,Coweeman TI1 - Section 1,
Coweeman River,Coweeman TI1 - Section 2a,
Coweeman River,COW 4c,
Coweeman River,COW 4b,
Coweeman River,COW 4a,
Coweeman River,COW 3b,
Coweeman River,COW 3a,
Coweeman River,COW 2b,
Coweeman River,COW 2a,
Coweeman River,COW 1,
Coweeman River,COW TIE-IN 3,
Coweeman River,COW TIE-IN 2,
Coweeman River,COW TIE-IN 1,
Coweeman River,COW 2-2014,
Coweeman River,COW 1-2014,
Coweeman River,COW TIE-IN 2-2014,
Coweeman River,COW TIE-IN 1-2014,
Mineral Lake,Mineral Lake,
Mayfield Lake,Mayfield Lake,
Merwin Reservoir,Merwin Total,
Merwin Reservoir,Cresap Ramp,
Merwin Reservoir,Speelyai Ramp,
Merwin Reservoir,M1,
Merwin Reservoir,M2,
Merwin Reservoir,M3,
Merwin Reservoir,Merwin Park,
Icehouse Lake,Icehouse Lake,
Germany Creek,"Tie-in ""A"" - Section #1",
Germany Creek,Section #4,
Germany Creek,Section #3,
Germany Creek,Section #2,
Germany Creek,Section #1,
Skamokawa Creek,Section #2,
Skamokawa Creek,Section #1,
Spearfish Lake,Spearfish Lake,
Ft. Borst Park Pond,Ft. Borst Park Pond,
Vancouver Lake,Vancouver Lake,
Ashes Lake (Big Ash Lake),Ashes Lake (Big Ash Lake),
Hayes Lake,Hayes Lake,
Salmon Creek,Section #2,
Salmon Creek,Section #1,
Salmon Creek,Section #0,
Carlisle Lake,Carlisle Lake,
White Salmon River,White Salmon - General,
White Salmon River,White Salmon mouth,
White Salmon River,WS 1,
White Salmon River,WS 1a,
White Salmon River,WS TIE-IN 4,
White Salmon River,WS TIE-IN 3,
White Salmon River,WS TIE-IN 2,
White Salmon River,WS TIE-IN 1,
White Salmon River,WS 5,
White Salmon River,WS 4,
White Salmon River,WS 3,
White Salmon River,WS 2,
White Salmon River,WS 1b,
Lacamas Lake,Lacamas Lake,
South Lewis County Park Pond,South Lewis County Park Pond,
Swofford Pond,Swofford Pond,
Little White Salmon - Drano Lake,Drano Lake,
Castle Lake,Castle Lake,
Rowland Lake,Rowland Lake,
Yale Reservoir,Y3,
Yale Reservoir,Yale Park Ramp,
Yale Reservoir,Y2,
Yale Reservoir,Saddle Dam Ramp,
Yale Reservoir,Beaver Bay Ramp,
Yale Reservoir,Yale Total,
Yale Reservoir,Cougar Camp Ramp,
Yale Reservoir,Y1,
Lake Sacajawea,Lake Sacajawea,
Maryhill Pond,Maryhill Pond,
Council Lake,Council Lake,
