water_body_desc,location_code,section,section_name
Skykomish River,Confluence of Skykomish and Snoqualmie to the Confluence of the North and South Fork Skykomish,1,mouth to Wallace River
Skykomish River,High Bridge Sky,1,mouth to Wallace River
Skykomish River,Reiter Ponds,1,mouth to Wallace River
Skykomish River,Sultan Boat Launch,1,mouth to Wallace River
Skykomish River,Cracker Bar,1,mouth to Wallace River
Skykomish River,Ben Howard Road,1,mouth to Wallace River
Skykomish River,Ben Howard Access,1,mouth to Wallace River
Skykomish River,Big Eddy Park,1,mouth to Wallace River
Skykomish River,Hanson’s,1,mouth to Wallace River
Skykomish River,Al Borlin Park,1,mouth to Wallace River
Skykomish River,Lewis Street Launch,1,mouth to Wallace River
Skykomish River,Tualco,1,mouth to Wallace River
Skykomish River,Cable Hole,1,mouth to Wallace River
Skykomish River,Proctor,1,mouth to Wallace River
Skykomish River,Simmons,1,mouth to Wallace River
Skykomish River,Wallace River to the confluence of the N and South forks,1,mouth to Wallace River
Skykomish River,mouth to Wallace River,1,mouth to Wallace River
